description,category,source,notes
7-ELEVEN-EASTCOASTRD,Food,manual,convenience store
ADVANCED UROLOGY ASSOCI,Health,manual,urology specialist clinic
ALFAMEDICUS.COM,Health,manual,medical
APPLE.COM/BILL CORK,Subscriptions,manual,Apple subscriptions
BENGAWANSOLO@PP,Food,manual,Bengawan Solo bakery
BFITHEALTH,Health,manual,BFit gym/health
BUS/MRT788439957,Transport,manual,public transport
BUS/MRT808762699,Transport,manual,public transport
CNERGY,Utilities,manual,gas utility
DAISOJAPAN-EPM,Shopping,manual,Daiso Japan
DIRECT ASIA INS Direct,Health,manual,insurance
DON DON DONKI - SUNTEC,Food,manual,Don Don Donki supermarket/food
EGENCIA SINGAPORE PTE L,Transport,manual,corporate travel booking
ENETS*AMEX NFP TOP-UP N,Others,manual,payment platform top-up
EXXONMOBIL EAST COAST,Transport,manual,petrol station
FAIRPRICE APP VIVO FAIR,Groceries,manual,NTUC FairPrice groceries
FAVEPAY -,Others,manual,cashback payment platform
GREATEASTERNLIFE,Health,manual,life insurance
Grab*A-8T95Q4VWX4JTAV,Food,manual,Grab Food delivery
Grab*A-8U3PPMTGWKITAV,Food,manual,Grab Food delivery
Grab*A-8UICHBIW4PQ7AV,Food,manual,Grab Food delivery
Grab*A-8V2Q4VKWWRI5AV,Food,manual,Grab Food delivery
Grab*A-8VSVC8LGXXQVAV,Food,manual,Grab Food delivery
Grab*A-8VWPBGRWW8KLAV,Food,manual,Grab Food delivery
Grab*A-92JFL6WGXDIIAV,Food,manual,Grab Food delivery
Grab*A-939CJG3WWMQRAV,Food,manual,Grab Food delivery
Grab*A-94HVUOTGWCDSAV,Food,manual,Grab Food delivery
Grab*A-97743LRWX2VUAV,Food,manual,Grab Food delivery
Grab*A-9WSGPOQGWS3IAV,Food,manual,Grab Food delivery
Grab*A-9XETUGDGWUSDAV,Food,manual,Grab Food delivery
Grab*A-9XM3KVJWWAAPAV,Food,manual,Grab Food delivery
HAWKERS STREET PTE LTD-,Food,manual,hawker food
ICETALKSIGNATURETE,Food,manual,Ice Talk bubble tea
ITEAI12KATONG,Food,manual,iTea bubble tea I12 Katong
JUNGYIKOREANBBQ,Food,manual,Jungyi Korean BBQ restaurant
KOPITIAM INVESTMENT,Food,manual,Kopitiam food court
LAZADA Lazada,Shopping,manual,Lazada e-commerce
LOTTE DFS T3,Shopping,manual,Lotte Duty Free T3
LOTTE T2 DEPARTURE CENT,Shopping,manual,Lotte T2 departure shopping
M1 LIMITED M1APP+ M1,Subscriptions,manual,M1 telco subscription
MACCHA HOUSE,Food,manual,Maccha House cafe
MAVEN SURGERY,Health,manual,surgery clinic
MOOLOOLABAR,Food,manual,Mooloolaba Bar restaurant
MORGANFIELDS,Food,manual,Morganfields restaurant
MTHAIRESTAURANTAND,Food,manual,M Thai Restaurant
NTUC FAIRPRICE APP PAYM,Groceries,manual,NTUC FairPrice groceries
NTUC FP - BT HO SWEE,Groceries,manual,NTUC FairPrice Buona Vista
OPTIQUE ZONE,Health,manual,optician/eyewear
PARKING.SG BILL_0DA152,Transport,manual,parking.sg
PARKING.SG BILL_190BA0,Transport,manual,parking.sg
PARKING.SG BILL_20BC9A,Transport,manual,parking.sg
PARKING.SG BILL_772A19,Transport,manual,parking.sg
PARKING.SG BILL_B745E0,Transport,manual,parking.sg
PARKING.SG BILL_C2C6FB,Transport,manual,parking.sg
PARKING.SGBILL_2D13E7,Transport,manual,parking.sg
PARKING.SGBILL_6E9F31,Transport,manual,parking.sg
PARKING.SGBILL_B5FA68,Transport,manual,parking.sg
PARKING.SGBILL_B77D76,Transport,manual,parking.sg
PEH- BUSINESS OFFICE,Health,manual,Parkway East Hospital
PHYSIO DOWN UNDER PTE L,Health,manual,physiotherapy clinic
PSSDESARU JOHOR,Transport,manual,petrol station Malaysia
PSSJALANSTOREY JOHORBAHRU,Transport,manual,petrol station Malaysia
PSSKM305PLUSARAHS SELANGOR,Transport,manual,petrol station Malaysia
SAIZERIYA SINGAPORE,Food,manual,Saizeriya Italian restaurant
SGHAWKER-I12KATONG,Food,manual,SG Hawker I12 Katong
SHOPEE SINGAPORE Shopee,Shopping,manual,Shopee e-commerce
SINGAPOREAIR SINGAPORE,Transport,manual,Singapore Airlines
SMP-MOONATHAIKITCHEN,Food,manual,Moona Thai Kitchen restaurant
SOJTC PTE,Health,manual,orthopedic clinic
SOLACESTUDIOS,Entertainment,manual,photobooth studio
SP DIGITAL PTE. LTD. SINGAPORE,Utilities,manual,SP Group electricity/utilities
ShopBackHawkersStr,Food,manual,ShopBack hawker cashback
ShopBackRBTeaPark,Food,manual,ShopBack RB Tea Park cashback
Singapore Airlines L EG Singapore,Transport,manual,Singapore Airlines
THEBULLION,Food,manual,The Bullion hawker bar
UNION GAS CNERGY - DUNM,Utilities,manual,gas utility
UNIQLO (SINGAPORE) PTE.,Shopping,manual,Uniqlo clothing
WATSON'S PERSONAL CARE,Health,manual,Watsons pharmacy/health
YOCHI ASIA PTE,Food,manual,Yochi frozen yoghurt
