description,category,source,notes
"KOPITIAM BEDOK NORTH",Food,synthetic,auto-generated
"KOPITIAM JURONG EAST",Food,synthetic,auto-generated
"KOPITIAM CLEMENTI",Food,synthetic,auto-generated
"KOPITIAM TAMPINES",Food,synthetic,auto-generated
"KOPITIAM BISHAN",Food,synthetic,auto-generated
"FOODCLIQUE PTE LTD",Food,synthetic,auto-generated
"HAWKER CHAN",Food,synthetic,auto-generated
"HAWKERPRENEUR PTE",Food,synthetic,auto-generated
"SG HAWKER TAMPINES",Food,synthetic,auto-generated
"SG HAWKER JURONG",Food,synthetic,auto-generated
"TIMBRE KITCHEN",Food,synthetic,auto-generated
"MAXWELL FOOD CENTRE",Food,synthetic,auto-generated
"CHINATOWN COMPLEX MKT",Food,synthetic,auto-generated
"OLD AIRPORT RD FC",Food,synthetic,auto-generated
"MCDONALDS BEDOK",Food,synthetic,auto-generated
"MCDONALDS JURONG",Food,synthetic,auto-generated
"MCDONALD S TAMPINES",Food,synthetic,auto-generated
"KFC SINGAPORE",Food,synthetic,auto-generated
"KFC CAUSEWAY POINT",Food,synthetic,auto-generated
"KFC JURONG POINT",Food,synthetic,auto-generated
"BURGER KING SINGAPORE",Food,synthetic,auto-generated
"BURGER KING VIVOCITY",Food,synthetic,auto-generated
"SUBWAY SINGAPORE",Food,synthetic,auto-generated
"SUBWAY ORCHARD",Food,synthetic,auto-generated
"STARBUCKS SINGAPORE",Food,synthetic,auto-generated
"STARBUCKS ORCHARD",Food,synthetic,auto-generated
"STARBUCKS VIVOCITY",Food,synthetic,auto-generated
"TOASTBOX PTE LTD",Food,synthetic,auto-generated
"YA KUN KAYA TOAST",Food,synthetic,auto-generated
"YAKUN INTERNATIONAL",Food,synthetic,auto-generated
"KOPI KO PTE LTD",Food,synthetic,auto-generated
"COFFEEBEAN SINGAPORE",Food,synthetic,auto-generated
"GONGCHA SINGAPORE",Food,synthetic,auto-generated
"GONG CHA JURONG",Food,synthetic,auto-generated
"LIHO TEA SINGAPORE",Food,synthetic,auto-generated
"LIHO BEDOK",Food,synthetic,auto-generated
"KOI CAFE SINGAPORE",Food,synthetic,auto-generated
"KOI THE SINGAPORE",Food,synthetic,auto-generated
"PLAYMADE SINGAPORE",Food,synthetic,auto-generated
"EACH A CUP SG",Food,synthetic,auto-generated
"TIGER SUGAR SINGAPORE",Food,synthetic,auto-generated
"MACHI MACHI SG",Food,synthetic,auto-generated
"TEALIVE SINGAPORE",Food,synthetic,auto-generated
"SHARETEA SINGAPORE",Food,synthetic,auto-generated
"SAKAE SUSHI SINGAPORE",Food,synthetic,auto-generated
"ITACHO SUSHI SG",Food,synthetic,auto-generated
"ICHIBAN BOSHI SG",Food,synthetic,auto-generated
"SUSHI EXPRESS SG",Food,synthetic,auto-generated
"PUTIEN RESTAURANT SG",Food,synthetic,auto-generated
"CRYSTAL JADE SG",Food,synthetic,auto-generated
"PARADISE DYNASTY SG",Food,synthetic,auto-generated
"DING TAI FUNG SG",Food,synthetic,auto-generated
"IMPERIAL TREASURE SG",Food,synthetic,auto-generated
"SOUP RESTAURANT SG",Food,synthetic,auto-generated
"THAI EXPRESS SG",Food,synthetic,auto-generated
"BOAT NOODLE SG",Food,synthetic,auto-generated
"HAN'S CAFE SG",Food,synthetic,auto-generated
"OLD CHANG KEE SG",Food,synthetic,auto-generated
"BENGAWAN SOLO SG",Food,synthetic,auto-generated
"POLAR PUFFS SG",Food,synthetic,auto-generated
"PRIMA DELI SG",Food,synthetic,auto-generated
"BREADTALK SG",Food,synthetic,auto-generated
"FOUR LEAVES BAKERY",Food,synthetic,auto-generated
"PARIS BAGUETTE SG",Food,synthetic,auto-generated
"CEDELE SINGAPORE",Food,synthetic,auto-generated
"BAKER & COOK SG",Food,synthetic,auto-generated
"SAIZERIYA JURONG",Food,synthetic,auto-generated
"SAIZERIYA TAMPINES",Food,synthetic,auto-generated
"GENKI SUSHI SINGAPORE",Food,synthetic,auto-generated
"KURIYA JAPANESE",Food,synthetic,auto-generated
"TONKICHI SINGAPORE",Food,synthetic,auto-generated
"YOSHINOYA SINGAPORE",Food,synthetic,auto-generated
"PEPPER LUNCH SG",Food,synthetic,auto-generated
"POKKA CAFE SG",Food,synthetic,auto-generated
"JOLLIBEE SINGAPORE",Food,synthetic,auto-generated
"POPEYES SINGAPORE",Food,synthetic,auto-generated
